date,year,type,country,state,location,activity,sex,age,injury,time,species
2024-09-16 00:00:00,2024,Unprovoked,morocco,southern morocco,west of dakhla,Swimming,F,30,Injured,1600hr,White shark
2024-08-26 00:00:00,2024,Unprovoked,jamaica,montego bay,falmouth,Fishing,M,16,Head right arm and leg severed,,Tiger shark
2024-08-06 00:00:00,2024,Unprovoked,belize,gulf of honduras,central america,Diving,F,15,Right lower leg amputated after serious bite,11.30hr,Reef shark 6ft (1.8m)
2024-07-23 00:00:00,2024,Unprovoked,australia,nsw,"north shore beach, port macquarie",Surfing,M,23,Serious injury to leg,1100hr,White shark
2024-07-18 00:00:00,2024,Unprovoked,australia,western australia,trigg beach sterling,Surfing,M,41,Injured,1735hr,Undetermined small shall shark
2024-07-08 00:00:00,2024,Unprovoked,usa,florida,volusia county,Diving,M,14,Lower left leg injury,11hr15,Black shark
2024-07-05 00:00:00,2024,Unprovoked,usa,florida,new smyrna beach,Wading,M,26,Injured,16hr15,Not specified
2024-07-04 00:00:00,2024,Unprovoked,usa,texas,south padre island,Swimming,F,Middle age,Bite to left leg calf muscle removed,?,Bull shark
2024-07-04 00:00:00,2026,Unprovoked,usa,texas,south padre island,Swimming,F,18,Injured,?,6 ft shark
2024-07-04 00:00:00,2025,Unprovoked,usa,texas,south padre island,Swimming,F,18,Injured,?,6 ft shark
2024-07-04 00:00:00,2024,Unprovoked,usa,floria,new smyrna beach,Playing football in the water,M,21,Injured,1100hr,Not specified
2024-07-04 00:00:00,2024,Unprovoked,usa,florida,volusia county,Swimming,M,,Bite to left leg  ,1100hr,6ft shark
2024-06-07 00:00:00,2024,Unprovoked,usa,florida,rosemary beach walton county,Swimming,F,45,Injured,13h15,Bull shark
2024-06-02 00:00:00,2024,Unprovoked,usa,california,del mar beach san diego,Swimming,M,46,Significant bites to torso left arm and hand,9h,Not specified
2024-06-02 00:00:00,2024,Unprovoked,maldive islands,maahvah laamu atoll,indian ocean,Military ocean training,M,23,Fatal,1300,Not specified
2024-05-28 00:00:00,2024,Unprovoked,usa,galveston,jamaica beach,Wading,F,19,Injured,14h,Not specified
2024-05-24 00:00:00,2024,Unprovoked,turks and caicos,providenciales island,leward reef,snorkelling,M,27,Major damage to right leg later amputated lower left leg left hand and forearm,15h30,Large shark
2024-05-23 00:00:00,2024,Unprovoked,french polynesia,gambier islands,mangareva atoll,Diving,M,20,Injured,Not stated,2.5m shark
2024-05-02 00:00:00,2024,Unprovoked,usa,south carolina,y-73' ledge reef chareston coast,Fishing,M,65,Injured,13h30,3m Sandbar shark
2024-04-26 00:00:00,2024,Unprovoked,tobago,graet courland bay,turtle beach,Swimming,M,64,Injured,9h15,Bull shark
2024-04-26 00:00:00,2024,Unprovoked,bahamas,clarence town long isand,flying fish marina,Jumpinf from dock to boat acidentally fell into water at marina,M,24,Injured,Not advised,Carribean reef shark 7ft
2024-04-20 00:00:00,2024,Unprovoked,australia,south australia,west beach glenelg,Fishing,M,16,Minor bite to left leg,13h40,White shark
2024-04-20 00:00:00,2024,Unprovoked,australia,western australia,lighthouse bombie surf spot exemouth,Surfing,M,26,Injured,12h30,Not specified
2024-04-08 00:00:00,2024,Unprovoked,maldive islands,nunu atoll,unspecified,Swimming,M,?,Injured,Not advised,Not specified
15 Mar 2024,2024,Unprovoked,australia,queensland,bargara beach,Swimming,F,13,Injured,16h00,Tiger shark
